country_iso3,specification,residual,position,predictive_r_squared,rmse_years,stable_all_specs
BEL,with_under5,-0.1759450195647645,within,0.810499248432416,3.284353047851084,True
BEN,with_under5,0.8682975642005104,within,0.810499248432416,3.284353047851084,True
BFA,with_under5,0.2800476255611031,within,0.810499248432416,3.284353047851084,True
BGD,with_under5,6.982666739750343,above,0.810499248432416,3.284353047851084,True
BGR,with_under5,-1.630188781732656,within,0.810499248432416,3.284353047851084,True
BHR,with_under5,-2.5157518555502207,within,0.810499248432416,3.284353047851084,True
BHS,with_under5,-1.6292796456582437,within,0.810499248432416,3.284353047851084,True
BIH,with_under5,0.5830429211446244,within,0.810499248432416,3.284353047851084,True
BLR,with_under5,-6.714246774412032,below,0.810499248432416,3.284353047851084,False
BLZ,with_under5,1.2809829578401093,within,0.810499248432416,3.284353047851084,True
BOL,with_under5,2.212148246228452,within,0.810499248432416,3.284353047851084,True
BRA,with_under5,1.9966626529856057,within,0.810499248432416,3.284353047851084,True
BRN,with_under5,-0.8647246509766688,within,0.810499248432416,3.284353047851084,True
BTN,with_under5,3.8169069559482125,within,0.810499248432416,3.284353047851084,True
BWA,with_under5,-5.107339224280523,below,0.810499248432416,3.284353047851084,True
CAN,with_under5,1.9256234489011632,within,0.810499248432416,3.284353047851084,True
CHE,with_under5,1.813859068008071,within,0.810499248432416,3.284353047851084,True
CHL,with_under5,3.518024128755485,within,0.810499248432416,3.284353047851084,True
CHN,with_under5,1.9851294514978974,within,0.810499248432416,3.284353047851084,True
CIV,with_under5,-2.063460505628001,within,0.810499248432416,3.284353047851084,False
CMR,with_under5,-3.823430529043243,within,0.810499248432416,3.284353047851084,False
COD,with_under5,-1.1927193045141848,within,0.810499248432416,3.284353047851084,True
COG,with_under5,-4.8168822499455715,below,0.810499248432416,3.284353047851084,True
COL,with_under5,4.39237607723453,within,0.810499248432416,3.284353047851084,False
COM,with_under5,2.3330031215702434,within,0.810499248432416,3.284353047851084,True
CPV,with_under5,3.832544635061211,within,0.810499248432416,3.284353047851084,False
CRI,with_under5,4.494954032742356,above,0.810499248432416,3.284353047851084,True
CYP,with_under5,-1.328938706039665,within,0.810499248432416,3.284353047851084,True
CZE,with_under5,-3.598216218450318,within,0.810499248432416,3.284353047851084,True
DEU,with_under5,-0.7775996856147032,within,0.810499248432416,3.284353047851084,True
DNK,with_under5,-0.45828334648389557,within,0.810499248432416,3.284353047851084,True
DZA,with_under5,6.0139515299407975,above,0.810499248432416,3.284353047851084,False
ECU,with_under5,4.366305915347482,within,0.810499248432416,3.284353047851084,False
EGY,with_under5,0.06517950122487548,within,0.810499248432416,3.284353047851084,True
ESP,with_under5,0.6448644811862749,within,0.810499248432416,3.284353047851084,True
EST,with_under5,-4.315962483320519,within,0.810499248432416,3.284353047851084,True
ETH,with_under5,3.968556903126654,within,0.810499248432416,3.284353047851084,False
FIN,with_under5,-2.342446001507099,within,0.810499248432416,3.284353047851084,True
FJI,with_under5,-3.3148476922151247,within,0.810499248432416,3.284353047851084,True
FRA,with_under5,1.6387639984582876,within,0.810499248432416,3.284353047851084,True
GAB,with_under5,-4.457362463637907,within,0.810499248432416,3.284353047851084,False
GBR,with_under5,0.18268257157475887,within,0.810499248432416,3.284353047851084,True
GEO,with_under5,-1.548722126735882,within,0.810499248432416,3.284353047851084,True
GHA,with_under5,-1.2633988419750466,within,0.810499248432416,3.284353047851084,True
GMB,with_under5,-0.3070273171293323,within,0.810499248432416,3.284353047851084,True
GNB,with_under5,-3.7450530674702946,within,0.810499248432416,3.284353047851084,False
GRC,with_under5,0.5520706732573046,within,0.810499248432416,3.284353047851084,True
GTM,with_under5,2.6452435466921855,within,0.810499248432416,3.284353047851084,True
GUY,with_under5,-1.80613521664705,within,0.810499248432416,3.284353047851084,True
HND,with_under5,-0.854477583073276,within,0.810499248432416,3.284353047851084,True
HRV,with_under5,-1.7446901918063844,within,0.810499248432416,3.284353047851084,True
HTI,with_under5,-0.890012707213458,within,0.810499248432416,3.284353047851084,True
HUN,with_under5,-3.669341641748929,within,0.810499248432416,3.284353047851084,True
IDN,with_under5,0.9914488181753569,within,0.810499248432416,3.284353047851084,True
IND,with_under5,3.3519558961396427,within,0.810499248432416,3.284353047851084,True
IRL,with_under5,-0.9899087498270092,within,0.810499248432416,3.284353047851084,True
IRN,with_under5,4.719782594504295,above,0.810499248432416,3.284353047851084,False
IRQ,with_under5,1.2401072530997794,within,0.810499248432416,3.284353047851084,True
ISL,with_under5,-1.774525068477061,within,0.810499248432416,3.284353047851084,True
ISR,with_under5,0.9150716019447742,within,0.810499248432416,3.284353047851084,True
ITA,with_under5,0.5720012470684139,within,0.810499248432416,3.284353047851084,True
JAM,with_under5,0.86773624431288,within,0.810499248432416,3.284353047851084,True
JOR,with_under5,7.022249114760939,above,0.810499248432416,3.284353047851084,True
JPN,with_under5,1.589360980272815,within,0.810499248432416,3.284353047851084,True
KAZ,with_under5,-3.437731057165621,within,0.810499248432416,3.284353047851084,True
KEN,with_under5,-1.5538043213979762,within,0.810499248432416,3.284353047851084,True
KGZ,with_under5,2.042037065951064,within,0.810499248432416,3.284353047851084,True
KHM,with_under5,0.7192818194721156,within,0.810499248432416,3.284353047851084,True
KIR,with_under5,-1.7495976016736776,within,0.810499248432416,3.284353047851084,False
KOR,with_under5,0.8368829850176951,within,0.810499248432416,3.284353047851084,True
KWT,with_under5,4.112196343320306,within,0.810499248432416,3.284353047851084,True
LAO,with_under5,0.6060780326253905,within,0.810499248432416,3.284353047851084,True
LBN,with_under5,5.669479191369604,above,0.810499248432416,3.284353047851084,False
LBR,with_under5,-0.2560748362553795,within,0.810499248432416,3.284353047851084,True
LBY,with_under5,-0.3519078079803819,within,0.810499248432416,3.284353047851084,True
LCA,with_under5,3.903194493752437,within,0.810499248432416,3.284353047851084,True
LKA,with_under5,0.7202037749027994,within,0.810499248432416,3.284353047851084,False
LSO,with_under5,-14.084656626412517,below,0.810499248432416,3.284353047851084,True
LTU,with_under5,-5.106134570990164,below,0.810499248432416,3.284353047851084,False
LUX,with_under5,-2.542255730101502,within,0.810499248432416,3.284353047851084,True
LVA,with_under5,-4.430237739001171,within,0.810499248432416,3.284353047851084,True
MAR,with_under5,3.212589577235107,within,0.810499248432416,3.284353047851084,True
MDA,with_under5,-1.1649364802670163,within,0.810499248432416,3.284353047851084,True
MDG,with_under5,1.158161093474952,within,0.810499248432416,3.284353047851084,True
MDV,with_under5,2.4980615623456686,within,0.810499248432416,3.284353047851084,True
MEX,with_under5,3.0242988560562196,within,0.810499248432416,3.284353047851084,True
MKD,with_under5,0.9570906117842668,within,0.810499248432416,3.284353047851084,True
MLI,with_under5,-0.7632309403584117,within,0.810499248432416,3.284353047851084,True
MLT,with_under5,3.4738337229265,within,0.810499248432416,3.284353047851084,True
MMR,with_under5,3.177805575379921,within,0.810499248432416,3.284353047851084,True
MNE,with_under5,-2.719760767351758,within,0.810499248432416,3.284353047851084,True
MNG,with_under5,-2.284623357491242,within,0.810499248432416,3.284353047851084,True
MOZ,with_under5,-6.073479038342711,below,0.810499248432416,3.284353047851084,True
MRT,with_under5,3.3728784807430685,within,0.810499248432416,3.284353047851084,True
MUS,with_under5,0.571641464354812,within,0.810499248432416,3.284353047851084,True
MWI,with_under5,-1.5248492514841132,within,0.810499248432416,3.284353047851084,True
MYS,with_under5,-2.8225805770348416,within,0.810499248432416,3.284353047851084,True
NER,with_under5,0.34455240476280835,within,0.810499248432416,3.284353047851084,True
NGA,with_under5,-0.45552205026425696,within,0.810499248432416,3.284353047851084,False
NLD,with_under5,0.29902274286961017,within,0.810499248432416,3.284353047851084,True
NOR,with_under5,-1.8651454406661117,within,0.810499248432416,3.284353047851084,True
NPL,with_under5,3.9343164746767485,within,0.810499248432416,3.284353047851084,False
NZL,with_under5,1.9450861175780005,within,0.810499248432416,3.284353047851084,True
OMN,with_under5,-2.4478925934845535,within,0.810499248432416,3.284353047851084,True
PAK,with_under5,2.398574411135158,within,0.810499248432416,3.284353047851084,True
PAN,with_under5,5.0772413194015655,above,0.810499248432416,3.284353047851084,False
PER,with_under5,7.850698357871877,above,0.810499248432416,3.284353047851084,True
PHL,with_under5,0.6585492292734045,within,0.810499248432416,3.284353047851084,True
PNG,with_under5,1.6851327904692823,within,0.810499248432416,3.284353047851084,True
POL,with_under5,-2.2866201156900985,within,0.810499248432416,3.284353047851084,True
PRT,with_under5,-0.21512301331802064,within,0.810499248432416,3.284353047851084,True
PRY,with_under5,4.193116601256079,within,0.810499248432416,3.284353047851084,True
PSE,with_under5,4.290936399395022,within,0.810499248432416,3.284353047851084,False
QAT,with_under5,-1.7465115385733299,within,0.810499248432416,3.284353047851084,False
ROU,with_under5,-1.321007624094051,within,0.810499248432416,3.284353047851084,True
RUS,with_under5,-5.841330733505117,below,0.810499248432416,3.284353047851084,True
RWA,with_under5,2.421058579715634,within,0.810499248432416,3.284353047851084,True
SAU,with_under5,-0.5695510967606623,within,0.810499248432416,3.284353047851084,True
SEN,with_under5,2.3602162922053225,within,0.810499248432416,3.284353047851084,True
SGP,with_under5,-1.812293465521762,within,0.810499248432416,3.284353047851084,True
SLB,with_under5,-3.004616222053258,within,0.810499248432416,3.284353047851084,True
SLE,with_under5,-2.016838874359486,within,0.810499248432416,3.284353047851084,False
SLV,with_under5,0.04879679344038834,within,0.810499248432416,3.284353047851084,True
SRB,with_under5,-1.870794482258546,within,0.810499248432416,3.284353047851084,True
STP,with_under5,0.8077931381485683,within,0.810499248432416,3.284353047851084,False
SVK,with_under5,-1.6318006344136364,within,0.810499248432416,3.284353047851084,True
SVN,with_under5,-2.7052198705265624,within,0.810499248432416,3.284353047851084,True
SWE,with_under5,-0.927708007931102,within,0.810499248432416,3.284353047851084,True
SWZ,with_under5,-13.91329610808716,below,0.810499248432416,3.284353047851084,True
SYC,with_under5,-0.8604414118246666,within,0.810499248432416,3.284353047851084,True
TCD,with_under5,-2.3392633080165055,within,0.810499248432416,3.284353047851084,False
TGO,with_under5,-1.153950143079335,within,0.810499248432416,3.284353047851084,True
THA,with_under5,2.4572302364885417,within,0.810499248432416,3.284353047851084,True
TKM,with_under5,1.5940665556276485,within,0.810499248432416,3.284353047851084,True
TLS,with_under5,5.054521667169766,above,0.810499248432416,3.284353047851084,False
TON,with_under5,-1.2988899087651191,within,0.810499248432416,3.284353047851084,False
TUN,with_under5,5.266342577624158,above,0.810499248432416,3.284353047851084,False
TUR,with_under5,2.6111359568049153,within,0.810499248432416,3.284353047851084,True
TZA,with_under5,0.3995290521945378,within,0.810499248432416,3.284353047851084,True
UGA,with_under5,0.34200500200134343,within,0.810499248432416,3.284353047851084,True
UKR,with_under5,-3.1315845510465152,within,0.810499248432416,3.284353047851084,True
URY,with_under5,0.8186969262304302,within,0.810499248432416,3.284353047851084,True
USA,with_under5,0.32735873071098354,within,0.810499248432416,3.284353047851084,False
UZB,with_under5,-1.5053892954316694,within,0.810499248432416,3.284353047851084,True
VNM,with_under5,2.770652865657155,within,0.810499248432416,3.284353047851084,True
VUT,with_under5,-3.809687706311948,within,0.810499248432416,3.284353047851084,True
WSM,with_under5,-1.2219930962033345,within,0.810499248432416,3.284353047851084,True
ZAF,with_under5,-4.736412605170322,below,0.810499248432416,3.284353047851084,True
ZMB,with_under5,-3.7047769260294316,within,0.810499248432416,3.284353047851084,False
ZWE,with_under5,-7.283055998281178,below,0.810499248432416,3.284353047851084,True
AFG,without_tobacco,-4.938801268784175,below,0.7078152641606937,4.078243273881282,False
ALB,without_tobacco,5.166284823606375,above,0.7078152641606937,4.078243273881282,False
ARE,without_tobacco,0.09529712087679343,within,0.7078152641606937,4.078243273881282,True
ARG,without_tobacco,-0.537716286387635,within,0.7078152641606937,4.078243273881282,True
ARM,without_tobacco,1.2362774309949458,within,0.7078152641606937,4.078243273881282,True
AUS,without_tobacco,1.2597539035510152,within,0.7078152641606937,4.078243273881282,True
AUT,without_tobacco,-0.6848461069590144,within,0.7078152641606937,4.078243273881282,True
AZE,without_tobacco,-0.007631199227759566,within,0.7078152641606937,4.078243273881282,True
BDI,without_tobacco,4.562760689587236,above,0.7078152641606937,4.078243273881282,False
BEL,without_tobacco,-0.6484334830044389,within,0.7078152641606937,4.078243273881282,True
BEN,without_tobacco,-0.14119113111103587,within,0.7078152641606937,4.078243273881282,True
BFA,without_tobacco,-1.0732190400079276,within,0.7078152641606937,4.078243273881282,True
BGD,without_tobacco,8.255682844445602,above,0.7078152641606937,4.078243273881282,True
BGR,without_tobacco,-1.2727613251799141,within,0.7078152641606937,4.078243273881282,True
BHR,without_tobacco,-3.716034759965112,within,0.7078152641606937,4.078243273881282,True
BHS,without_tobacco,-4.188643107736425,within,0.7078152641606937,4.078243273881282,True
BIH,without_tobacco,3.489769424581752,within,0.7078152641606937,4.078243273881282,True
BLR,without_tobacco,-1.7153587008146474,within,0.7078152641606937,4.078243273881282,False
BLZ,without_tobacco,3.4017324379733793,within,0.7078152641606937,4.078243273881282,True
