country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant
United Kingdom,GBR,2018,18.467142,12.395174,5.9535546,0.07315253,0.045259543,67.12015801191379,somente setor público reportado,
United Kingdom,GBR,2019,18.012562,12.251336,5.6494055,0.07391252,0.03790751,68.01551228344367,somente setor público reportado,
United Kingdom,GBR,2020,16.029922,10.926154,5.0037184,0.07136725,0.028681347,68.16099718797635,somente setor público reportado,
United Kingdom,GBR,2021,15.847657,10.988156,4.765803,0.06971152,0.023986813,69.33615340810701,somente setor público reportado,
United Kingdom,GBR,2022,16.885738,12.04711,4.7499924,0.068581946,0.020055199,71.34487635495506,somente setor público reportado,
United Kingdom,GBR,2023,17.079811,12.35837,4.636031,0.06745708,0.01795265,72.35659806401145,somente setor público reportado,Volume < mediana · Access ≥ 70%
Georgia,GEO,2016,22.418634,13.427452,7.535058,1.120904,0.29122633,60.01192332909335,escopo de classes antimicrobianas parcial,
Georgia,GEO,2017,25.122282,16.003885,8.273172,0.045877103,0.7345552,63.86866938853264,escopo de classes antimicrobianas parcial,
Georgia,GEO,2018,20.780441,9.000715,11.221148,0.005971391,0.52528125,43.37042762975852,escopo de classes antimicrobianas parcial,
Georgia,GEO,2019,16.467178,8.837232,7.203328,0.007956576,0.36148977,53.85270312314113,escopo de classes antimicrobianas parcial,
Georgia,GEO,2020,14.507995,7.5880136,6.559828,0.003152289,0.26604918,52.63224618032803,escopo de classes antimicrobianas parcial,
Georgia,GEO,2021,25.148424,9.020287,15.328783,0.019863047,0.47825313,36.303052328515584,escopo de classes antimicrobianas parcial,
Georgia,GEO,2022,20.077005,8.427269,11.011634,0.027675616,0.4174167,42.38217152072477,escopo de classes antimicrobianas parcial,
Georgia,GEO,2023,24.436386,11.734973,11.7927685,0.037946973,0.70383936,48.3527041842306,escopo de classes antimicrobianas parcial,Volume ≥ mediana · Access < 70%
